2012-13 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Rochester,02500000,      38.6, 100.0,     158, 100.0,  13.8 to 1
Rockland,02510000,     145.7, 100.0,     722, 100.0,  15.1 to 1
Rockport,02520000,      77.7, 100.0,     410, 100.0,  12.0 to 1
Rowe,02530000,       7.3, 100.0,      45, 100.0,   7.9 to 1
Roxbury Preparatory Charter (District),04840000,      55.3,  38.0,     132,  97.7,  10.0 to 1
Sabis International Charter (District),04410000,      64.5,  85.3,     424, 100.0,  24.4 to 1
Salem,02580000,     439.2,  98.9,"   1,793",  99.4,  10.0 to 1
Salem Academy Charter (District),04850000,      36.0,  72.2,     147, 100.0,   9.5 to 1
Salem Community Charter School (District),04670000,       4.8,  85.5,      46,  97.8,   9.8 to 1
Sandwich,02610000,     212.1,  99.8,"   1,043", 100.0,  14.7 to 1
